employee_id,first_name,last_name,gender,aadhaar_id,pan_id,state,city,region,hiredate,department,job_title,education_level,salary,performance_rating,overtime,company_name,birthdate,termdate
00-95822412,Isaac,Bakshi,Female,432181960013,GPOSS4428Y,Karnataka,Mysuru,South,2016-09-27,IT,IT Support Specialist,Bachelor,90347,Satisfactory,No,Ola Cabs,1996-05-22,2017-03-26
00-31429110,Yash,Kapoor,Female,523511615594,USNZJ5868S,Uttar Pradesh,Lucknow,North,2022-02-20,Sales,Business Development Executive,Bachelor,97972,Needs Improvement,No,HDFC Bank,1995-06-16,2022-08-19
00-19335534,Harsh,Chahal,Male,513164752553,RSRBQ5242U,West Bengal,Asansol,East,2015-08-03,Customer Service,Support Specialist,High School,95322,Good,No,Zomato,1965-10-09,2019-01-16
00-84752529,Azad,Balan,Male,130564139537,KXLGG5258M,Delhi,Dwarka,North,2017-02-04,IT,IT Support Specialist,High School,101422,Good,No,ICICI Bank,1985-06-20,2023-04-21
00-39436733,Viraj,Tiwari,Female,971012269166,PMGOY6187Y,Maharashtra,Nagpur,West,2024-08-07,IT,IT Support Specialist,Bachelor,73004,Good,No,HCL Technologies,1993-09-13,2025-02-03
00-55657579,Rushil,Saini,Male,370482814893,DTOUN0309Z,Maharashtra,Pune,West,2016-03-21,Customer Service,Support Executive,High School,114233,Good,No,Reliance,2002-04-10,2019-02-20
00-42138745,Arunima,Ahuja,Male,271822782489,LFOSF3964Q,Maharashtra,Mumbai,West,2016-10-03,Operations,Inventory Specialist,Bachelor,71752,Needs Improvement,No,Tech Mahindra,1978-06-24,2019-05-01
00-26240908,Nathaniel,Sami,Female,609839301031,XWBGR2195P,Gujarat,Ahmedabad,West,2017-05-04,IT,Software Engineer,Master,69759,Satisfactory,No,HDFC Bank,1977-03-04,2021-12-18
00-73481353,Nachiket,Kale,Female,216566701065,UCEND1480Z,Delhi,Dwarka,North,2023-12-15,IT,Software Engineer,Master,85974,Good,No,Paytm,1993-03-03,2024-06-12
00-83863413,Gayathri,Chaudry,Female,232677360260,ZGULK9957E,Telangana,Warangal,South,2016-02-03,Operations,Logistics Coordinator,Bachelor,54694,Satisfactory,No,HDFC Bank,1988-06-02,2016-08-01
00-49823450,Gunbir,Parmer,Male,905009788208,CEPRG1825T,Maharashtra,Pune,West,2017-11-05,Customer Service,Help Desk Technician,Bachelor,70875,Good,Yes,TCS,1979-03-06,2021-09-24
00-66267415,Aishani,Bassi,Male,643534624751,AQOCN5130H,Uttar Pradesh,Lucknow,North,2022-09-23,Customer Service,Support Specialist,Bachelor,135088,Excellent,No,ICICI Bank,2002-09-25,2023-03-22
00-48250360,Jeet,Radhakrishnan,Female,908412411824,HFIRW5290U,Gujarat,Surat,West,2017-01-29,Finance,Financial Analyst,Bachelor,96205,Needs Improvement,No,L&T,1970-11-13,2021-04-12
00-47135391,Chaaya,Pathak,Male,342786801128,AJOLB3990L,Maharashtra,Pune,West,2015-07-30,Operations,Logistics Coordinator,Bachelor,119379,Satisfactory,No,HDFC Bank,1967-02-18,2019-04-21
00-43491314,Ekaraj,Bath,Male,969232260256,UWVGU1882O,Maharashtra,Nagpur,West,2022-08-29,Operations,Inventory Specialist,Bachelor,115456,Good,No,ICICI Bank,1984-05-07,2024-07-18
00-50962024,Bimala,Buch,Male,403654145868,IAWGP9053Z,Maharashtra,Pune,West,2023-11-08,Operations,Inventory Specialist,High School,86392,Satisfactory,No,ICICI Bank,1989-01-24,2024-05-06
00-68571795,Harrison,Rai,Female,269340608835,LYXQR1956K,Karnataka,Mangaluru,South,2021-04-12,Sales,Sales Representative,Bachelor,128099,Excellent,No,L&T,1977-08-28,2021-10-09
00-49682169,Janya,Gaba,Female,762994680443,LPRML2497F,Tamil Nadu,Madurai,South,2020-05-15,Sales,Sales Representative,Bachelor,83412,Good,No,HCL Technologies,1968-04-30,2020-11-11
00-21381064,Shaurya,Loke,Female,234332003791,LXOSJ3168Y,Tamil Nadu,Madurai,South,2017-09-13,Operations,Inventory Specialist,Bachelor,101389,Good,No,TCS,1990-01-07,2021-12-05
00-67062156,Ekbal,Garg,Female,808317278895,YXPSN8587P,Karnataka,Bengaluru,South,2017-07-14,Finance,Accounts Payable Specialist,Bachelor,121129,Good,No,Tech Mahindra,2001-06-24,2018-08-24
00-44788100,Yash,Gade,Female,973471434558,CDJDF4340N,Delhi,Rohini,North,2022-06-18,IT,System Administrator,Master,102387,Satisfactory,Yes,L&T,1983-11-06,2022-12-15
00-88393811,Anamika,Kanda,Male,770546688937,FLAIR4141T,Maharashtra,Pune,West,2024-09-06,Operations,Inventory Specialist,Bachelor,60960,Satisfactory,No,Flipkart,1989-06-15,2025-03-05
00-13619375,Daksh,Karnik,Female,262720465375,IWHYK8470L,Karnataka,Bengaluru,South,2023-10-27,Customer Service,Support Specialist,Bachelor,56617,Excellent,No,HDFC Bank,1995-03-05,2024-04-24
00-97260863,Diya,Rattan,Male,133092327193,MGJPZ7713S,Karnataka,Bengaluru,South,2016-04-07,IT,IT Manager,Master,62101,Good,Yes,Infosys,1973-09-28,2022-05-22
00-51870192,Siddharth,Murty,Female,731931491905,NRBQA4443O,Tamil Nadu,Chennai,South,2020-03-18,IT,IT Support Specialist,High School,108410,Satisfactory,No,Zomato,1970-03-27,2023-12-05
00-30534124,Xalak,Randhawa,Female,598776945314,WGMPJ0812Z,West Bengal,Kolkata,East,2019-11-19,Sales,Sales Specialist,Bachelor,138085,Good,Yes,Reliance,1966-04-25,2020-05-17
00-55679506,Tara,Dhar,Male,908313678377,LAHKG6353X,Maharashtra,Mumbai,West,2017-04-07,Operations,Operations Analyst,Master,90972,Satisfactory,Yes,Flipkart,2003-06-14,2017-10-04
00-54398056,Yatin,Yohannan,Male,544313518233,THPTP9823J,Tamil Nadu,Chennai,South,2018-04-06,Operations,Inventory Specialist,Bachelor,132462,Excellent,Yes,Infosys,1979-03-19,2023-10-22
00-81690398,Priya,Rastogi,Female,184271094777,IZGWC0456E,Delhi,New Delhi,North,2016-05-12,Operations,Operations Analyst,Master,62503,Good,No,Wipro,1993-04-21,2024-11-23
00-85543051,Lakshit,Upadhyay,Female,418699938677,HPLOB9076I,Maharashtra,Nagpur,West,2024-06-29,IT,System Administrator,Bachelor,63291,Good,No,HCL Technologies,1992-08-24,2024-12-26
00-20896797,Champak,Choudhary,Female,912067974034,SSLRY7669N,Delhi,Dwarka,North,2017-02-25,Operations,Inventory Specialist,Bachelor,82066,Excellent,No,TCS,1976-01-05,2017-08-24
00-83089925,Nathaniel,Sami,Female,521024994717,RSYNM0043I,Maharashtra,Pune,West,2017-08-06,IT,IT Support Specialist,Bachelor,73100,Satisfactory,Yes,Infosys,1988-04-08,2018-07-10
00-22257687,Lekha,Raj,Female,590278742967,ZMKIC1446M,Maharashtra,Nagpur,West,2017-08-05,Operations,Operations Analyst,Master,61533,Excellent,No,Paytm,1965-11-23,2018-02-01
00-83832717,Upadhriti,Wadhwa,Male,645168087603,NQMLB2128P,Uttar Pradesh,Kanpur,North,2015-04-02,Sales,Sales Representative,Bachelor,72262,Good,No,TCS,1973-06-11,2015-09-29
00-13874790,Advay,Contractor,Female,348086131712,MSNHV9253T,Uttar Pradesh,Lucknow,North,2024-09-05,Sales,Business Development Executive,Master,90309,Excellent,No,Flipkart,1988-08-10,2025-03-04
00-28321839,Amara,Oak,Male,758404499727,OIOOL3165H,West Bengal,Kolkata,East,2023-02-10,Sales,Business Development Executive,Master,89860,Needs Improvement,Yes,Paytm,1996-04-25,2023-08-09
00-65133300,Radhika,Dugar,Male,762702895171,NLSKR1493W,Karnataka,Mangaluru,South,2015-06-15,Operations,Logistics Coordinator,Bachelor,139615,Satisfactory,No,L&T,1982-03-06,2015-12-12
